Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5,h5_source,SBC_Class,Google_Scholar_ID,DBLP_ID
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,2025,General,,,440.0,(2025) [GS],Geral,FXe-a9w0eycJ,cvpr
Neural Information Processing Systems,NeurIPS,2025,General,,,371,(2025) [GS],Top10,6SgK_Z8h2_wJ,nips
International Conference on Learning Representations,ICLR,2025,General,,,362,(2025) [GS],Geral,0032SoU2xY4J,iclr
Neural Information Processing Systems,NIPS,2025,General,,,337.0,(2025) [GS],Top10,6SgK_Z8h2_wJ,nips
IEEE International Conference on Computer Vision,ICCV,2025,General,,,291.0,(2025) [GS],Geral,Umlb1kMURG4J,iccv
International Conference on Machine Learning,ICML,2025,General,,,268.0,(2025) [GS],Top10,wL2oxc9mT4YJ,icml
European Conference on Computer Vision,ECCV,2025,General,,,262,(2025) [GS],Geral,cwIh2C-xo8kJ,eccv
AAAI Conference on Artificial Intelligence,AAAI,2025,General,,,232,(2025) [GS],Top10,PV9sQN5dnPsJ,aaai
AAAI Conference on Artificial Intelligence,AAAI,2025,General,,,232,(2025) [GS],Top10,PV9sQN5dnPsJ,aaai
Conference on Empirical Methods in Natural Language Processing (EMNLP),EMNLP,2025,General,,,218,(2025) [GS],Top10,LqrQjvOguiMJ,emnlp
Conference on Empirical Methods in Natural Language Processing,EMNDKLP,2025,General,,,193.0,(2025) [GS],Top20,LqrQjvOguiMJ,emnlp
"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",ICASSP,2025,General,,,137,(2025) [GS],Top10,HHC6AUo36fEJ,icassp
International Joint Conference on Artificial Intelligence (IJCAI),IJCAI,2025,General,,,136,(2025) [GS],Top10,4HxsSu0PUdYJ,ijcai
Conference of the North American Chapter of the ACL,NAACL,2025,General,,,133.0,(2025) [GS],Top10,ORSK3meVbY4J,naacl
ACM Conference on Human Factors in Computing Systems,CHI,2025,General,,,129,(2025) [GS],Top10,6NNnGOq9_mAJ,chi
ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD,2025,General,,,124.0,(2025) [GS],Top20,DxPOk84pRIIJ,kdd
ACM International Conference on Knowledge Discovery and Data Mining,SIGKDD,2025,General,,,124.0,(2025) [GS],Geral,DxPOk84pRIIJ,kdd
IEEE International Conference on Robotics and Automation,ICRA,2025,General,,,122.0,(2025) [GS],Top10,Z88T8Kej-9oJ,icra
International World Wide Web Conferences (WWW),WWW,2025,General,,,120,(2025) [GS],Top10,VtCeQ7ShDloJ,www
IEEE/CVF Computer Society Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),CVPRW,2025,General,,,117,(2025) [GS],Top10,ihIDe6biV1gJ,cvpr
USENIX Security Symposium,USENIX Security,2025,General,,,116,(2025) [GS],Top10,HSHJIaLyN9IJ,uss
Conference of the International Speech Communication Association (INTERSPEECH),INTERSPEECH,2025,General,,,112,(2025) [GS],Top20,ssdQ_yPkyjAJ,interspeech
IEEE Symposium on Security and Privacy,IEEE S&P,2025,General,,,112.0,(2025) [GS],Geral,cyrroHz3a0YJ,
Winter Conference on Applications of Computer Vision,WACV,2025,General,,,109.0,(2025) [GS],Geral,uo-zCIky-iEJ,wacv
Conference on Robot Learning,CoRL,2025,General,,,107,(2025) [GS],Top10,kWi-GfxuXpEJ,
International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR,2025,General,,,103.0,(2025) [GS],Geral,Gf4FWVmkfbwJ,sigir
ACM Multimedia Conference,MM,2025,General,,,101,(2025) [GS],Top10,vKMrxyJUpv0J,mm
ACM International Conference on Multimedia,ACM Multimedia,2025,General,,,101.0,(2025) [GS],Geral,vKMrxyJUpv0J,mm
ACM International Conference on Multimedia,ACM-MM,2025,General,,,101.0,(2025) [GS],Geral,vKMrxyJUpv0J,mm
International Conference on Artificial Intelligence and Statistics,AISTATS,2025,General,,,101,(2025) [GS],Top20,PhcE9OLs0MUJ,aistats
IEEE Symposium on Security and Privacy,S&P,2025,General,,,98,(2025) [GS],Top10,cyrroHz3a0YJ,sp
ACM International Conference on Information and Knowledge Management,CIKM,2025,General,,,96,(2025) [GS],Geral,V-IMg2OTpU8J,cikm
Medical Image Computing and Computer Assisted Intervention,MICCAI,2025,General,,,96.0,(2025) [GS],Top10,QLpioUFGyGMJ,miccai
IEEE Congress on Evolutionary Computation,CEC,2025,General,,,94,(2025) [GS],Top10,ThxTsNVxvT8J,cec
ACM Symposium on Computer and Communications Security,ACM CCS,2025,General,,,92,(2025) [GS],Top10,Pg42P_rbavwJ,ccs
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,2025,General,,,92,(2025) [GS],Top10,QZ31s4XlF8EJ,iros
International Conference on Very Large Databases,VLDB,2025,General,,,90,(2025) [GS],,,
ACM Symposium on Computer and Communications Security,CCS,2025,General,,,90,(2025) [GS],Geral,Pg42P_rbavwJ,ccs
ACM International Conference on Web Search and Data Mining,WSDM,2025,General,,,86,(2025) [GS],Top10,6AbX1YWluE4J,
