Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5
International Conference on 3D Vision (3DV),3DV,2025,General,,,56.0 (2025) [GS]
"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",3ICT,2025,General,,,21.0 (2025) [GS]
AAAI Conference on Artificial Intelligence,AAAI,2025,General,,,232.0 (2025) [GS]
AAAI Conference on Artificial Intelligence,AAAI,2025,General,,,232.0 (2025) [GS]
AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AAAI,2025,General,,,23.0 (2025) [GS]
AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AAAI,2025,General,,,23.0 (2025) [GS]
International Conference on Autonomous Agents and Multiagent Systems,AAMAS,2025,General,,,54.0 (2025) [GS]
American Control Conference,ACC,2025,General,,,50.0 (2025) [GS]
Asian Conference on Computer Vision (ACCV),ACCV,2025,General,,,52.0 (2025) [GS]
International Conference on Affective Computing and Intelligent Interaction and Workshops,ACII,2025,General,,,23.0 (2025) [GS]
Asia-Pacific Conference on Intelligent Robot Systems,ACIRS,2025,General,,,9.0 (2025) [GS]
Australasian Conference on Information Security and Privacy (ACISP),ACISP,2025,General,,,18.0 (2025) [GS]
Annual Symposium on Computer-Human Interaction in Play,ACM CHI PLAY,2025,General,,,27.0 (2025) [GS]
ACM International Conference on Interactive Media Experiences,ACM IMX,2025,General,,,20.0 (2025) [GS]
ACM Symposium on Cloud Computing,ACMSOCC,2025,General,,,39.0 (2025) [GS]
Applied Cryptography and Network Security,ACNS,2025,General,,,28.0 (2025) [GS]
Computer Security Applications Conference,ACSAC,2025,General,,,40.0 (2025) [GS]
International Conference on Geographic Information Science,AGILEGIS,2025,General,,,11.0 (2025) [GS]
Augmented Human International Conference (AH),AH,2025,General,,,19.0 (2025) [GS]
Canadian Conference on Artificial Intelligence,AI,2025,General,,,19.0 (2025) [GS]
IEEE International Conference on Application of Information and Communication Technologies (AICT),AICT,2025,General,,,17.0 (2025) [GS]
"DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry",AIED,2025,General,,,5.0 (2025) [GS]
"AAAI/ACM Conference on AI, Ethics, and Society",AIES,2025,General,,,62.0 (2025) [GS]
AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AIIDE,2025,General,,,23.0 (2025) [GS]
IEEE/ASME International Conference on Advanced Intelligent Mechatronics,AIM,2025,General,,,20.0 (2025) [GS]
Conference on Advances in Modal Logic,AIML,2025,General,,,10.0 (2025) [GS]
"IEEE Applied Imagery Pattern Recognition Workshop, AIPR",AIPR,2025,General,,,15.0 (2025) [GS]
International Conference on Artificial Intelligence and Statistics,AISTATS,2025,General,,,101.0 (2025) [GS]
IEEE International Conference On Artificial Intelligence Testing,AITest,2025,General,,,16.0 (2025) [GS]
"Allerton Conference on Communication, Control, and Computing",ALLERTON,2025,General,,,11.0 (2025) [GS]
Americas Conference on Information Systems (AMCIS),AMCIS,2025,General,,,29.0 (2025) [GS]
"International Conference on Ambient Systems, Networks and Technologies (ANT)",ANT,2025,General,,,47.0 (2025) [GS]
"IEEE Asia Pacific Conference on Circuits and Systems, APCCAS",APCCAS,2025,General,,,12.0 (2025) [GS]
"International Conference on Availability, Reliability and Security, ARES",ARES,2025,General,,,35.0 (2025) [GS]
IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),ARSO,2025,General,,,8.0 (2025) [GS]
"IEEE International Conference on Application-specific Systems, Architectures and Processors, ASAP",ASAP,2025,General,,,20.0 (2025) [GS]
IEEE/ACM International Conference on Automated Software Engineering (ASE),ASE,2025,General,,,57.0 (2025) [GS]
"International Conference on Anti-counterfeiting, Security, and Identification in Communication",ASID,2025,General,,,9.0 (2025) [GS]
Asia and South Pacific Design Automation Conference (ASP-DAC),ASP-DAC,2025,General,,,34.0 (2025) [GS]
International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),ASPLOS,2025,General,,,77.0 (2025) [GS]
USENIX Annual Technical Conference,ATC,2025,General,,,57.0 (2025) [GS]
Asian Test Symposium,ATS,2025,General,,,10.0 (2025) [GS]
International Audio Mostly Conference,AUDIOMOSTLY,2025,General,,,13.0 (2025) [GS]
IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS),AVSS,2025,General,,,13.0 (2025) [GS]
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,2025,General,,,10.0 (2025) [GS]
IEEE International Conference on Big Data and Cloud Computing (BdCloud),BDCLOUD,2025,General,,,7.0 (2025) [GS]
"IEEE International Conference on Bioinformatics and Bioengineering, BIBE",BIBE,2025,General,,,20.0 (2025) [GS]
IEEE International Conference on Bioinformatics and Biomedicine,BIBM,2025,General,,,31.0 (2025) [GS]
International Conference on Biomedical Engineering and Informatics,BMEI,2025,General,,,15.0 (2025) [GS]
British Machine Vision Conference (BMVC),BMVC,2025,General,,,57.0 (2025) [GS]
Brazilian Conference on Intelligent Systems (BRACIS),BRACIS,2025,General,,,18.0 (2025) [GS]
Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),BRASNAM,2025,General,,,8.0 (2025) [GS]
IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS),BTAS,2025,General,,,34.0 (2025) [GS]
International Conference on Automated Deduction,CADE,2025,General,,,24.0 (2025) [GS]
International Conference on Computer Analysis of Images and Patterns,CAIP,2025,General,,,11.0 (2025) [GS]
International Conference on Advanced Information Systems Engineering,CAISE,2025,General,,,24.0 (2025) [GS]
IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),CAMAD,2025,General,,,17.0 (2025) [GS]
"IEEE International Conference on Automation Science and Engineering, CASE",CASE,2025,General,,,30.0 (2025) [GS]
International Conference on Computer Aided Verification (CAV),CAV,2025,General,,,44.0 (2025) [GS]
Congresso Brasileiro de Automática-CBA,CBA,2025,General,,,8.0 (2025) [GS]
International Workshop on Content-Based Multimedia Indexing,CBMI,2025,General,,,13.0 (2025) [GS]
IEEE International Conference on Cyborg and Bionic Systems,CBS,2025,General,,,5.0 (2025) [GS]
Canadian Conference on Computational Geometry,CCCG,2025,General,,,8.0 (2025) [GS]
IEEE Canadian Conference on Electrical and Computer Engineering,CCECE,2025,General,,,17.0 (2025) [GS]
ACM Symposium on Computer and Communications Security,CCS,2025,General,,,90.0 (2025) [GS]
IEEE Conference on Decision and Control,CDC,2025,General,,,48.0 (2025) [GS]
IEEE International Conference on Digital Health,CDH,2025,General,,,12.0 (2025) [GS]
IEEE Congress on Evolutionary Computation,CEC,2025,General,,,94.0 (2025) [GS]
International Conference on Enterprise Information Systems (ICEIS),CENTERIS,2025,General,,,23.0 (2025) [GS]
ACM International Conference on Computing Frontiers,CF,2025,General,,,20.0 (2025) [GS]
International Symposium on Code Generation and Optimization,CGO,2025,General,,,25.0 (2025) [GS]
Conference on Human Information Interaction and Retrieval,CHIIR,2025,General,,,29.0 (2025) [GS]
Iberoamerican Congress on Pattern Recognition (CIARP),CIARP,2025,General,,,7.0 (2025) [GS]
"IEEE Custom Integrated Circuits Conference, CICC",CICC,2025,General,,,30.0 (2025) [GS]
IEEE Conference on Computational Intelligence and Games (CIG),CIG,2025,General,,,27.0 (2025) [GS]
ACM International Conference on Information and Knowledge Management,CIKM,2025,General,,,96.0 (2025) [GS]
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,2025,General,,,15.0 (2025) [GS]
Iberian Conference on Information Systems and Technologies,CISTI,2025,General,,,24.0 (2025) [GS]
"International Conference on Computer, Information and Telecommunication Systems",CITS,2025,General,,,14.0 (2025) [GS]
International Conference on Cloud Computing and Services Science (CLOSER),CLOSER,2025,General,,,17.0 (2025) [GS]
IEEE International Conference on Cloud Computing Technology and Science (CloudCom),CloudCom,2025,General,,,9.0 (2025) [GS]
IEEE International Conference on Cluster Computing,CLUSTER,2025,General,,,24.0 (2025) [GS]
